,username,comments,user_channelid,posted_at,updated_at,likes,replies,reply
71,CHE6yp,"char type should have been represented by charmander, 0/10",UCJIGydhQ0jMZATxM7as53jA,2022-05-19T23:21:20Z,2022-05-19T23:21:20Z,1,0,
72,Advancering Newholder,to me it looks like a more elegant python,UCCMkJPlhz-b9C1pSNIfpfJA,2022-05-19T23:16:28Z,2022-05-19T23:16:28Z,0,0,
73,Ad FLoRiN,fun fact. Microsoft wasn’t able to create this in 30 years,UCcZck2UdDKf54pvtd-Bahlg,2022-05-19T23:02:37Z,2022-05-19T23:02:37Z,0,0,
74,Ryan Howe,I used this in numerical linear algebra. Extremely fast and powerful language,UCb7is56eVDRwVkptQxbI6Vg,2022-05-19T22:58:50Z,2022-05-19T22:58:50Z,0,0,
75,Chris,"Compilation: AoT makes sense for releases, while JiT makes sense for real time development and sciencey things.<br>Interpreted makes sense for shells/hacking. Languages should be more ambitious in covering all the bases.",UCU8iRpoo7BH6Qc9LC9v2VnQ,2022-05-19T22:57:19Z,2022-05-19T22:58:49Z,1,1,
76,capalasker,"Please consider a video on Fortran. Modern Fortran is similar to Julia in some ways, emphasizing performance and used in scientific computing, with good support for multi-dimensional arrays.",UCutbZ92FuMZRLmSCOBfh7Nw,2022-05-19T22:56:49Z,2022-05-19T22:56:49Z,2,0,
77,Psychopathic HTML,Day 2 of commenting in fireships comments until he does ducky script in 100 seconds,UCb5_dSohN4QAqmI4auj0F_g,2022-05-19T22:46:03Z,2022-05-19T22:46:03Z,0,0,
78,Bot Studio,"Didn’t know this language existed until now, looks amazing! Suggestion, would be 100 seconds of Haxe, would be pretty cool.",UCSYp7Rj8vd18X9uHaGmP0CQ,2022-05-19T22:35:41Z,2022-05-19T22:35:41Z,0,0,
79,Tomy Durazno,"I love the multiple dispatch, the type annotation lets the JIT complier optimize the code to specific machine code for each type, making it super fast (C# its other language that has an amazing JIT), but you a have a first call performance cost, I guess that its some kind of issue unless they also implent some AOT compilation also, other than that this language is really really interesting and for sure will become a top choice in the future",UCrAumjnQHoU-NmGXMsrHeKg,2022-05-19T22:34:45Z,2022-05-19T22:34:45Z,1,0,
80,Patrick Wang,Please do SPWN in 100 seconds. It is an esoteric programming language that compiles to Geometry Dash triggers.,UCpMaDV4mWAsET_ft8mL41aw,2022-05-19T22:31:58Z,2022-05-19T22:31:58Z,0,0,
